.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,.,#,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,#,.,.,#
.,#,.,.,.,#,#,.,.,.,.,#,.,.,.,.,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.
.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,#,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,#,.,.,#,.,#,.,#
.,.,.,.,.,.,#,#,.,.,.,#,.,#,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,.
.,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,#,.,.,.,.,#,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.
#,.,.,.,.,.,#,.,#,#,.,.,.,.,.,#,.,.,.,#,#,.,.,.,.,#,#,#,#,#,.,.,.,.,#,.,#,.,.
.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,#,.,.,#,#,.,.,.,.,.,.,.,#,.,#,.,.,.,#,.,.,.,.,#
.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,#,#,#,.,#,.,.,.,.
#,#,.,.,#,#,.,.,.,#,.,#,.,.,.,.,.,.,.,#,#,.,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.
.,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.
.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,#,#,.,.,#,.,#,#,.,.,.,.,.,.,.,.,#,.,.
.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.
.,.,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,#,#,.,#,.,.,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,.
.,.,#,.,.,.,.,#,.,#,#,#,.,.,#,.,.,.,#,#,.,#,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,#
.,.,.,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,.,#
.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,#,#,.,.,#,.,.,#,.,.,.,.,#,#,.,.,.,.
.,#,.,#,.,.,.,.,.,.,.,#,.,.,#,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,#,.,#,.,#,#,.
